GCVI,GPP_mean (gC m-2 d-1)
2.292075123,4.026086957
1.765190692,3.999347826
1.570742148,5.26173913
1.927352578,3.570217391
2.72337934,3.937391304
2.042555885,3.344782609
2.386538902,3.891086957
1.753124072,3.758695652
2.147242206,4.562608696
2.328718268,4.703913043
2.207486666,3.810652174
2.409221315,5.608478261
1.66356302,3.460652174
0.272215973,1.648478261
1.893855588,4.438478261
1.4101237,4.003913043
1.725399979,3.510217391
1.861893713,3.850869565
1.946942015,3.165652174
2.511008111,3.980869565
2.86573913,3.606521739
1.775761884,3.772826087
1.9468815,4.269782609
2.254427665,4.984782609
1.695790001,4.279565217
2.433181351,5.365
2.929000092,4.118043478
1.478542752,2.838043478
2.210618355,5.085652174
2.407956624,4.030217391
1.712196983,4.086304348
1.405919449,3.524130435
2.144299219,3.690869565
1.492780278,3.537173913
0.815482397,1.82326087
1.689991765,3.237826087
2.251571956,3.402608696
1.341154609,4.173913043
1.994712684,3.939347826
1.956698516,5.078695652
1.94744171,4.502608696
2.855786255,5.286521739
2.207406804,4.217173913
0.672650334,3.01673913
2.159035907,4.346521739
2.660644066,6.614782609
2.045666822,7.79826087
1.576598532,3.961086957
1.455915621,3.699130435
1.355989359,0.026956522
2.382707123,4.464130435
2.090380623,4.253478261
1.85481669,3.549130435
1.541467498,3.81826087
2.170875805,6.263043478
1.589427454,4.171086957
1.700152153,3.567173913
2.679995716,3.145
1.839282425,3.949782609
1.400805084,4.041086957
2.210811668,3.849130435
2.824952916,3.952391304
1.674325646,3.513695652
3.179199284,3.227826087
1.805511715,4.384130435
2.175579078,4.096304348
2.230757963,4.050434783
3.201175937,4.815217391
2.546220606,3.961521739
3.479965784,4.660869565
2.018412698,4.529130435
1.014563107,5.015652174
1.687002203,3.985869565
2.853444409,4.20826087
1.739736029,4.866304348
2.629837402,3.929782609
1.718150213,4.120434783
1.88079062,3.511304348
1.960422849,3.805217391
1.566793246,4.659782609
1.968548715,5.119130435
1.943572003,5.531521739
1.651861476,3.386086957
1.998189499,3.242608696
1.919623461,4.388478261
1.717558693,3.38326087
1.23927301,4.440217391
1.777453294,5.203695652
3.205641573,5.939782609
1.634899248,4.248695652
2.173910981,3.283913043
2.889229468,3.549130435
2.070429491,3.696086957
0.642364246,3.52173913
1.926781273,3.893695652
2.083861147,4.433043478
2.068838353,3.934347826
2.560952598,2.823913043
0.659318726,0.937391304
2.265854283,4.747826087
1.584292945,3.593695652
1.775812074,4.016956522
1.956943802,3.494130435
1.2603582,4.252391304
1.609215644,4.339565217
1.460506812,5.318913043
1.888951777,4.422173913
1.819141675,3.544347826
1.729104388,3.91673913
1.489399879,4.097826087
1.223724008,2.340217391
1.47813722,5.414565217
1.682848072,4.718043478
1.840790137,3.822173913
1.98217722,3.822391304
1.645530838,3.967391304
1.866385414,3.565869565
1.770262766,3.720869565
0.613792832,1.12673913
1.779192814,4.113695652
1.528334413,3.922608696
3.723076923,5.569130435
2.534383689,4.268913043
1.396591734,5.659347826
1.694392692,5.416956522
2.087024854,4.066304348
2.40870341,4.769347826
1.746607329,3.92326087
1.804979708,3.65173913
1.959623346,0.012608696
1.376087148,4.94826087
1.916311638,3.322608696
1.433714972,3.31673913
2.18653237,3.981304348
1.454819534,3.07673913
1.937414771,3.522391304
1.639119086,4.256304348
1.843183264,5.18
1.252531343,3.335217391
1.699421621,4.494565217
2.504819277,3.507173913
1.819311489,4.34173913
1.690937957,3.376086957
0.531041154,0.889347826
1.055690548,3.58173913
3.287327452,5.985869565
1.927258313,4.305217391
1.667687155,3.66
2.578794922,4.64173913
1.400516905,5.562391304
1.491825387,3.323043478
2.299630248,7.218695652
1.624895994,3.008913043
1.958154264,4.007173913
2.194545975,4.597826087
1.658904804,4.668478261
1.846091652,3.873478261
2.0111245,0.012826087
3.872858273,4.659782609
2.707332824,4.384782609
1.682130848,3.509130435
1.778077355,4.201521739
-0.068701448,1.433043478
2.401953895,3.67673913
3.136302411,5.222826087
1.789486669,3.58
2.605990338,5.39
2.090931998,4.504782609
2.399763725,3.688913043
1.397811692,5.427826087
1.277420228,3.380869565
1.384062313,3.746956522
1.529154481,4.044130435
1.934740946,3.729565217
2.084879047,4.779565217
1.955761854,3.644782609
1.381623121,3.391956522
2.102320482,4.233695652
1.458174353,3.354782609
1.887549248,3.726521739
2.204046263,6.122608696
1.586754657,4.174130435
1.566228366,4.750217391
1.709738368,3.916521739
1.226241791,0.013043478
2.129903999,3.361521739
1.567334153,4.935217391
1.814707407,8.72173913
1.989635938,4.46173913
1.720495852,4.346304348
1.766226945,4.096086957
1.860032647,3.806086957
1.65965504,3.791956522
1.8937908,3.588478261
1.563280588,4.093043478
1.949098356,4.332173913
1.584125475,3.470652174
1.345513313,3.97673913
0.830457416,1.94826087
1.310021727,3.781086957
1.94902415,3.205434783
1.75123888,3.192173913
0.90678121,3.972608696
1.41996147,4.594565217
2.851116281,4.875
2.124513748,3.481521739
1.364087002,3.301304348
1.464823313,3.506304348
1.771299388,4.735652174
2.307852009,8.04673913
2.411440326,3.685217391
1.487135806,4.315652174
1.706216706,4.944130435
2.303315725,4.315434783
1.471362139,4.45173913
1.831525365,3.785434783
1.72670844,3.520652174
1.761974826,2.754130435
2.158344848,3.362173913
1.561017311,3.665
1.744021537,4.122391304
1.861406537,3.780434783
1.864608005,3.946304348
2.787444811,4.000869565
1.579849185,3.171956522
2.285399947,3.96826087
2.540731558,3.548695652
1.554846958,3.257391304
1.769421512,6.455652174
2.617890668,5.904130435
1.658135673,4.444347826
2.472465438,4.375
2.823437608,4.046956522
1.893755421,3.656956522
4.211568472,4.37
1.676302158,3.417173913
1.49750953,4.693913043
2.280287984,5.252608696
1.922245651,3.815869565
1.061833219,4.359130435
1.941919404,2.852173913
2.421916532,7.254130435
2.170222618,4.080652174
2.539803972,4.350652174
1.445953127,4.219347826
1.540940146,4.980434783
1.651509149,4.399782609
1.487296703,5.048478261
1.748976275,0.013043478
1.572605873,4.271086957
2.434656367,3.386086957
2.350116057,4.441304348
2.522325581,4.95326087
2.237795515,4.220434783
2.142764822,4.440652174
2.808026927,5.551086957
2.107958844,5.610217391
2.262876471,3.855869565
1.750954664,3.748695652
1.522664228,3.894565217
1.043718201,2.967608696
1.662041513,3.256956522
1.516685703,4.060434783
1.789016544,3.363478261
2.688373685,3.797391304
1.358691746,2.761304348
2.306154291,4.494782609
1.810180031,4.308695652
1.810796908,9.08826087
1.538462456,3.475217391
2.38390435,3.443695652
2.584290878,5.196521739
2.145211087,4.030217391
2.123244362,5.295434783
2.123630626,3.805869565
1.739895988,3.455652174
1.51035035,4.274130435
2.812811299,4.733695652
1.480341304,3.569782609
2.164538479,4.342826087
1.783105818,4.281521739
1.671758977,2.600217391
2.017042793,4.867608696
1.654658275,4.454130435
1.750603835,3.533913043
1.304507882,3.787173913
1.768162242,4.32326087
2.507098106,3.634782609
4.329423031,4.093478261
3.270102511,4.695434783
1.321049876,3.733478261
1.448215331,3.692391304
1.521750878,3.635434783
2.263185379,3.906304348
2.128658414,3.372391304
1.535551029,4.058695652
1.884782051,4.48
2.73426528,3.851521739
1.664783375,4.030217391
2.702330632,4.132391304
1.823302221,3.54826087
2.090140988,4.411956522
-0.276048187,0.028913043
2.739360153,4.672608696
1.602560017,3.541304348
2.130275522,0.013043478
1.651799167,4.027826087
0.577231547,1.712173913
1.848155226,3.175652174
2.130958544,4.465
2.603578563,4.953695652
2.097994186,3.900652174
1.448000318,3.328478261
1.74364695,5.382173913
2.162551023,3.958913043
1.878300366,4.967391304
2.363890765,2.551086957
2.550974483,4.80673913
1.968463672,0.013043478
1.23281802,3.254347826
3.257388679,4.855652174
1.710528638,2.885869565
2.314137898,4.026086957
2.433362788,8.369347826
0.831244665,2.639782609
1.152510696,4.255652174
1.67793811,3.39
1.870188442,5.623478261
1.677398303,5.252608696
1.513171277,3.797173913
0.315712403,3.293695652
1.790037583,3.569347826
1.743593704,3.89326087
3.320448978,3.546304348
1.790918508,3.855434783
2.149868685,3.812173913
1.817696902,3.546304348
1.724441744,4.811304348
3.354386393,7.833478261
2.139942529,4.517826087
2.488258102,4.117826087
2.135512042,4.792826087
2.296909928,5.227826087
1.966358636,3.280652174
1.677878091,3.034782609
3.987607338,4.187826087
2.363928974,3.49
2.83365019,3.964347826
1.455262495,3.497391304
2.848273773,3.875869565
2.358077223,4.189565217
1.742347513,3.790434783
1.995126602,4.196956522
2.244018588,3.62826087
1.56802168,4.286521739
3.085363124,4.859130435
1.308161763,3.620217391
1.652907894,3.472608696
1.56792593,4.140217391
1.310621031,3.556304348
2.049104036,3.792826087
1.589216279,2.848913043
1.666217031,3.391304348
0.358350813,4.743913043
1.914159319,4.228695652
0.628622672,2.438043478
1.708773306,3.986521739
1.748049594,4.032826087
1.84710257,3.526521739
2.938348238,5.069347826
2.210208899,5.37
2.80260624,4.07173913
2.848446005,4.092608696
2.395555556,6.228695652
1.794351725,5.824565217
1.282471496,3.154130435
1.95011843,4.375434783
1.301075269,2.30173913
2.486387968,3.656956522
1.892120045,3.598043478
1.861239274,4.374565217
1.975643206,0.013043478
2.252047949,3.812826087
1.762991744,3.300869565
1.67021024,3.342608696
2.206918239,4.71
2.020728804,3.528478261
0.782950254,1.019347826
1.057068628,4.021086957
1.566126649,3.768478261
1.670627432,0.013043478
2.71025717,4.116956522
1.553135275,4.740869565
1.786248174,3.776086957
1.617090422,2.731956522
3.043514314,3.914782609
1.862420115,4.839782609
3.654912681,4.176956522
0.639802173,0.966956522
2.379133493,3.679782609
1.54337044,4.071521739
2.139582192,3.450434783
1.554140915,4.305652174
1.493383503,3.248913043
2.209422453,3.869565217
2.785711316,4.24826087
2.736267457,4.298478261
2.196350188,4.083478261
2.204855209,3.25173913
2.873997184,4.801304348
0.927141565,1.031521739
0.548660062,2.486304348
0.796412809,3.335434783
1.999496967,3.656086957
1.97172735,4.915434783
1.53589017,3.328913043
1.650358171,5.135
1.71288724,3.856086957
2.745925926,3.480652174
2.318981399,4.087826087
3.049289736,3.696086957
3.235210966,4.196956522
1.286275657,3.755652174
2.430065359,3.721956522
1.947515898,4.137608696
2.044384898,3.973913043
2.673660834,4.589565217
1.963857738,4.133695652
1.969075438,3.942826087
1.378366722,4.311521739
1.22912509,4.708478261
2.421873316,8.617173913
2.733569964,3.523913043
2.424788392,3.173478261
3.035576013,4.59
3.324024185,3.903695652
1.539637021,4.937173913
1.611163686,3.569565217
1.723625634,3.965869565
2.591090169,9.383043478
1.873707556,3.369130435
2.249436504,3.084565217
1.719113947,3.921304348
2.15696901,3.709565217
1.612686479,3.310217391
1.458225028,3.011956522
2.106302059,7.132391304
1.828067586,5.217391304
1.78414669,3.558913043
1.92882792,3.776304348
1.731430387,3.893478261
2.315247154,4.616521739
2.751061991,6.730434783
1.501183961,2.751521739
1.969248484,4.550434783
2.024330559,3.869347826
1.873817035,3.168043478
2.976965596,6.810217391
2.035236618,3.047608696
1.900794727,3.800652174
2.323829978,6.32173913
1.206284248,0.012826087
1.82914791,3.448913043
1.817579332,3.575
2.081044794,3.691086957
2.943753942,6.522826087
2.409145608,3.24173913
2.264970235,3.996521739
0.643020155,1.007608696
1.676864677,4.431521739
1.477706528,3.55
2.262015995,6.087608696
2.309793799,3.647173913
2.073315168,5.989782609
2.240576415,4.958913043
1.425802831,4.3
1.427749361,6.277608696
2.021730759,4.189565217
1.608380238,3.832826087
2.012628394,4.748043478
1.935024502,4.359782609
1.989911098,3.954130435
2.575232254,3.091304348
1.534451861,3.843478261
1.613355953,3.261304348
2.37256997,4.743913043
1.707261592,3.606956522
2.26597776,6.56173913
1.319186361,3.375869565
1.67691039,4.02673913
1.937437039,4.118043478
2.873444178,4.446086957
1.814238493,3.323478261
2.543698645,3.737391304
1.861475574,4.120869565
1.945814885,2.915869565
1.425470072,4.179347826
2.354197635,4.233695652
1.924938486,3.260869565
2.240173071,4.012608696
1.817217627,3.584130435
2.111797303,3.884782609
1.373722744,1.345869565
1.739414015,3.57673913
1.645360411,3.013043478
1.158522712,2.797173913
2.827521938,5.95826087
2.448016023,4.708913043
1.450010927,3.712391304
2.260541994,4.359130435
1.712266517,3.321521739
1.626699661,3.313478261
0.016842984,2.712608696
1.708481379,4.007391304
2.951435234,4.998478261
1.775033885,4.417826087
1.351808743,4.167173913
2.191995611,3.687826087
3.408125092,3.990869565
1.727529234,3.677391304
2.225571593,3.998695652
1.774588242,3.871086957
1.948958639,3.894782609
1.683757304,4.153913043
3.349147458,4.289565217
1.454002242,4.295869565
1.903927316,3.720217391
0.760692279,1.868043478
2.379399321,4.016086957
1.705496308,3.33326087
2.375655122,3.603695652
2.079810714,5.034782609
1.623663503,5.706956522
1.92509737,4.10326087
0.79347305,1.47
1.792948287,5.070652174
2.069965081,3.428478261
2.222297186,3.949565217
2.528382793,3.576521739
1.640049745,3.281086957
0.714116665,0.834782609
2.089574619,4.596956522
1.669992872,4.073478261
1.371706072,0.013043478
1.837562363,4.217173913
1.506802368,4.42173913
2.26543194,3.67
2.759984801,4.888913043
1.776303601,4.048695652
1.978164474,3.87
2.667032151,3.988478261
2.279765376,4.34673913
3.359793375,3.443913043
2.614845829,5.114347826
1.659885266,4.020869565
1.501300454,4.53826087
2.085948158,4.055
2.11528803,3.074130435
1.680086189,2.968913043
2.116149725,3.978695652
